,brand,model,SIM,display_type,OS,CPU,Chipset,GPU,memory_card,NFC,USB,approx_price_EUR,GPRS,EDGE,status,display_resolution,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,radio,sensors,battery,colors
0,Acer,Iconia Talk S,Dual SIM (Micro-SIM/Nano-SIM),IPS LCD capacitive touchscreen  16M colors,Android 6.0 (Marshmallow),Quad-core 1.3 GHz Cortex-A53,Mediatek MT8735,Mali-T720MP2,microSD  up to 128 GB (dedicated slot),Yes,microUSB 2.0,170.0,Yes,Yes,Available.,7.0,32 GB,2 GB,13 MP,2 MP| 720p,Yes,Yes,Yes,4.0,Yes,Yes,2,3400.0,Black
1,Acer,Liquid Z6 Plus,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,Android 6.0 (Marshmallow),Octa-core 1.3 GHz Cortex-A53,Mediatek MT6753,Mali-T720MP3,microSD  up to 256 GB (uses SIM 2 slot),Yes,microUSB 2.0,250.0,Yes,Yes,Available.,5.5,32 GB,3 GB,13 MP,5 MP,Yes,Yes,Yes,4.0,Yes,Yes,3,4080.0,Black
2,Acer,Liquid Z6,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,Android 6.0 (Marshmallow),Quad-core 1.25 GHz Cortex-A53,Mediatek MT6737,Mali-T720MP2,microSD  up to 256 GB,Yes,microUSB 2.0,120.0,Yes,Yes,Available.,5.5,32 GB,3 GB,13 MP,5 MP,Yes,Yes,Yes,4.0,Yes,Yes,3,4080.0, White
3,Acer,Iconia Tab 10 A3-A40,No,IPS LCD capacitive touchscreen  16M colors,Android 6.0 (Marshmallow),Quad-core 1.3 GHz Cortex-A53,Mediatek MT8163A,Mali-T720 MP2,microSD  up to 256 GB (dedicated slot),Yes,microUSB 2.0,230.0,Yes,Yes,Available.,5.0,8 GB,1 GB,8 MP,2 MP,Yes,Yes,Yes,Yes,Yes,Yes,2,2000.0,Black
4,Acer,Liquid X2,Triple SIM (Micro-SIM),IPS LCD capacitive touchscreen  16M colors,Android 5.1 (Lollipop),Octa-core 1.3 GHz Cortex-A53,Mediatek MT6753,Mali-T720MP4,microSD  up to 32 GB (dedicated slot),Yes,microUSB 2.0,230.0,Yes,Yes,Available.,5.0,8 GB,1 GB,8 MP,2 MP,Yes,Yes,Yes,Yes,Yes,Yes,2,2000.0, White
5,Acer,Liquid Jade 2,Dual SIM (Nano-SIM| dual stand-by),Super AMOLED capacitive touchscreen  16M colors,Android 6.0 (Marshmallow),Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),Qualcomm MSM8992 Snapdragon 808,Mali-400,microSD  up to 256 GB,Yes,microUSB 2.0,70.0,No,No,Available.,10.1,64 GB,2 GB,5 MP,2 MP,Yes,Yes,Yes,Yes,nan,No,1,2000.0,Black
6,Acer,Liquid Zest Plus,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,Android 6.0 (Marshmallow),Quad-core 1.3 GHz Cortex-A53,Mediatek MT6735,Mali-T720MP2,microSD (dedicated slot),Yes,microUSB 2.0,200.0,Yes,Yes,Available.,5.5,32 GB,3 GB,13 MP,13 MP| f/1.8| autofocus| LED flash,Yes,Yes,Yes,4.0,Yes,Yes,3,4020.0,Black
7,Acer,Liquid Zest,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,Android 6.0 (Marshmallow),Quad-core 1.3 GHz - Z525,Mediatek MT6580 - Z525,Mali-400MP2 - Z525,microSD  up to 32 GB (dedicated slot),Yes,microUSB 2.0,110.0,Yes,Yes,Available.,5.5,32 GB,3 GB,13 MP,13 MP| f/1.8| autofocus| LED flash,Yes,Yes,Yes,4.0,Yes,Yes,3,4020.0, Gold
8,Acer,Predator 8,No,IPS LCD capacitive touchscreen  16M colors,Android 5.0 (Lollipop),Quad-core 1.6 GHz,Intel Atom x7-Z8700,Mali-400,microSD  up to 256 GB (dedicated slot),Yes,microUSB 2.0,350.0,Yes,Yes,Available,5.5,32 GB,3 GB,21 MP,8 MP,Yes,Yes,Yes,4.0,Yes,Yes,4,2000.0,Black
9,Acer,Liquid Jade Primo,Dual SIM (Nano-SIM| dual stand-by),AMOLED capacitive touchscreen  16M colors,Microsoft Windows 10,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),Qualcomm MSM8992 Snapdragon 808,Adreno 418,microSD  up to 256 GB (uses SIM 2 slot),Yes,3.1| Type-C 1.0 reversible connector,220.0,Yes,Yes,Available.,5.5,16 GB,2 GB,13 MP,5 MP,Yes,Yes,Yes,Yes,Yes,Yes,3,4750.0,Blue
